;Year;Quarter;N;Otolith_per5cm;age;mCPUE;bootstrapMean;median;Q025;Q975;BiasCQ025;BiasCQ075;sd
1;2015;Q1;50;1;0;0;0;0;0;0;0;0;0
2;2015;Q1;50;1;1;5.090754278;3.288178338;3.100127536;1.442628224;6.127503319;0.695560433;0.695560433;1.215447738
3;2015;Q1;50;1;2;12.30196391;11.13599253;9.57611849;4.508468385;27.47350251;3.282119462;3.282119462;5.888766094
4;2015;Q1;50;1;3;6.133602436;5.258594923;4.960340797;2.32417705;10.09231726;1.619325266;1.619325266;1.941051264
5;2015;Q1;50;1;4;1.30423993;1.761172341;1.642838673;0.474378373;3.700530786;0.145514676;0.145514676;0.872460399
6;2015;Q1;50;1;5;0.445904918;0.578705258;0.504299346;0.110163776;1.439404832;0;0;0.343831822
7;2015;Q1;50;1;6+;0.305054829;0.448729631;0.335500437;0.066102729;1.3936909;2.56742E-15;0.00015874;0.362074147
8;2015;Q1;75;1;0;0;0;0;0;0;0;0;0
9;2015;Q1;75;1;1;5.246230681;3.389684585;3.179932932;1.775902679;5.746258119;1.131833181;1.131833181;1.077668382
10;2015;Q1;75;1;2;10.52560797;10.8320036;9.463344058;5.432425557;22.03390544;4.326047985;4.326047985;4.504402742
11;2015;Q1;75;1;3;4.845440953;5.418164525;5.373942385;2.676548943;8.933803167;1.795209015;1.795209015;1.636307986
12;2015;Q1;75;1;4;1.065349955;1.855939562;1.764664012;0.73875139;3.608178072;0.401090339;0.401090339;0.732094345
13;2015;Q1;75;1;5;0.438636501;0.595206259;0.543545289;0.173035452;1.334316491;0.035671468;0.035671468;0.296440117
14;2015;Q1;75;1;6+;0.28296962;0.468426684;0.384136063;0.107822498;1.28321903;0.015334579;0.015334579;0.30836841
15;2015;Q1;100;1;0;0;0;0;0;0;0;0;0
16;2015;Q1;100;1;1;4.353799607;3.398068824;3.31854059;1.92073429;5.476701149;1.211352934;1.211352934;0.903596753
17;2015;Q1;100;1;2;9.852593407;10.95789876;9.841093909;6.059233706;21.20581125;5.187823389;5.187823389;3.903788594
18;2015;Q1;100;1;3;6.920861256;5.381610151;5.293098817;2.95112732;8.569424492;2.113737355;2.113737355;1.447434448
19;2015;Q1;100;1;4;1.879696867;1.782921606;1.705923381;0.758968936;3.200364797;0.542486681;0.542486681;0.63157079
20;2015;Q1;100;1;5;0.744080418;0.556115991;0.522941392;0.177942377;1.188058411;0.090391236;0.090391236;0.240485402
21;2015;Q1;100;1;6+;0.486674644;0.434040932;0.38314865;0.123952535;1.023520532;0.041435285;0.041435285;0.234534243
22;2015;Q1;150;1;0;0;0;0;0;0;0;0;0
23;2015;Q1;150;1;1;3.346155238;3.349127364;3.312037462;2.097056077;4.91654331;1.618815707;1.618815707;0.747181257
24;2015;Q1;150;1;2;11.96382901;10.82964058;10.17825186;6.659211476;18.3314393;5.223941977;5.223941977;3.061686887
25;2015;Q1;150;1;3;6.337078493;5.354943131;5.270052561;3.430906478;7.573378825;2.673530749;2.673530749;1.149213825
26;2015;Q1;150;1;4;1.525834211;1.782994038;1.717742889;0.96207263;2.928355119;0.49738086;0.49738086;0.514202633
27;2015;Q1;150;1;5;0.334802241;0.560110825;0.516149469;0.272691268;1.086286312;0.201705113;0.201705113;0.206817535
28;2015;Q1;150;1;6+;0.485751903;0.427410746;0.379418302;0.161649214;0.974392467;0.090649127;0.090649127;0.208904676
29;2015;Q1;200;1;0;0;0;0;0;0;0;0;0
30;2015;Q1;200;1;1;3.076392587;3.408182778;3.377665285;2.371570279;4.802273609;1.824268953;1.824268953;0.649245713
31;2015;Q1;200;1;2;8.483762475;10.89478146;10.19549612;6.803256722;18.29384957;5.845328945;5.845328945;2.975125852
32;2015;Q1;200;1;3;4.812225201;5.228097845;5.235110949;3.513342496;7.229120878;2.818846145;2.818846145;0.952311677
33;2015;Q1;200;1;4;0.90786316;1.770989528;1.74676791;0.979074402;2.67094054;0.746723732;0.746723732;0.456970336
34;2015;Q1;200;1;5;0.386108785;0.562346089;0.542366701;0.276416312;0.991883353;0.194141293;0.194141293;0.180542872
35;2015;Q1;200;1;6+;0.292840805;0.437599753;0.414778919;0.176052002;0.874443143;0.11495318;0.11495318;0.177376897
36;2015;Q1;300;1;0;0;0;0;0;0;0;0;0
37;2015;Q1;300;1;1;3.204562755;3.384502812;3.333558502;2.463506404;4.457945183;2.060085895;2.060085895;0.533612763
38;2015;Q1;300;1;2;10.2399436;10.8086039;10.4396004;7.26843905;16.01673175;6.209763843;6.209763843;2.235410631
39;2015;Q1;300;1;3;4.374175783;5.333702768;5.268155851;3.814584537;7.042309994;3.020935416;3.020935416;0.822158039
